rank,provider,win_rate,ci_low,ci_high,n_comparisons,tie_group,status,avg_tokens_per_result,latency_p50_ms,accuracy_rate,accuracy_correct,accuracy_total,cost_usd_per_query,cost_usd_per_correct,cost_as_of,freshness_score,freshness_coverage,freshness_low_confidence,success_rate,error_rate,auto_verify_rate,auto_verify_correct,auto_verify_total
1,perplexity_search,0.8350252524970225,0.7897829967672464,0.8785711409592738,132,0,ranked,120.248730964467,546.5859174728394,1.0,16,16,,,2026-07-01,0.36486486486486486,0.8222222222222222,False,1.0,0.0,1.0,16,16
2,exa,0.8078519003396025,0.7645423311447538,0.8530054272515023,131,0,ranked,170.12857142857143,259.8038911819458,1.0,16,16,,,2026-07-01,0.7692307692307693,0.52,False,1.0,0.0,1.0,16,16
3,brave,0.6213299572950448,0.5540321881855305,0.6962382517490603,141,1,ranked,69.70710059171597,749.8018741607666,1.0,16,16,,,2026-07-01,0.4634146341463415,0.82,False,1.0,0.0,1.0,16,16
4,tavily,0.567940422748782,0.5004952474031286,0.6388258982760715,131,1,ranked,298.4875,706.4715623855591,1.0,16,16,,,2026-07-01,0.6,0.1,True,1.0,0.0,1.0,16,16
5,serper,0.44052395632965385,0.37426645377963325,0.5210639162656922,137,1,ranked,44.212464589235125,915.7131910324097,1.0,16,16,,,2026-07-01,0.08333333333333333,0.2553191489361702,True,1.0,0.0,1.0,16,16
6,claude_search,0.026925258435012332,0.008550765529392618,0.04886317834102844,122,2,ranked,15.49185667752443,22102.41389274597,1.0,4,4,,,2026-07-01,0.0,0.2184873949579832,True,0.65,0.0,1.0,4,4
